"collected_time","url","title","category","author","date","description"
"2018-08-28 15:04:38","http://gall.dcinside.com/board/view/?id=superidea&no=156678&page=2","늦은 궁평항 무박 모캠후기   초개념 갤러리","초개념","Erica","2018 08 27 11:18:01","근무중에 바갤럼들 놀러옴 궁평항 가기전에 커피 삥뜯으러 찾아오심 내일도 출근하는 흑우라 가고싶었지만 부리 본걸로 만족했뜸 머장님의 응딩이를 노리는...jpg 응딩이 노리는걸 실패했는지 머장님에게 훈계를 듣고있는 뎁차이님 아직까지 궁평항에서 낚시한다고 하길래 7시 칼퇴하고 집가서 장비차고 록주한고시에여 가자마자 머장님이 망둥어 런커잡으심 (지수오빠가 런커라고 하니 암튼 런커임 ㅡㅡ) 머장님 맨손으로 물고기 만지시는거보소 ㅗㅜㅑ ;; 머장님 컨셉샷.jpg 망둥어 런커 크기로 존나많이잡은거시에여 회뜰려다가 어떻게 뜨는지몰라서 집가기전에 다 놔줌 갑자기 라면이 종나 땡겨서 뎁차이 아죠씨가 머얼리 마트가서 버너랑 냄비 가스 현질해오심 무우우우려 4마넌 짜리 ㅗㅜㅑ 시골인심 ㅇㄷ? 개창렬.. 사진찍는 머장님 도촬.jpg 배경이 되게 좋아서 파노라마로 찍음 머장님 인생샷 건져드림 계속 낚시하다보니 어느새 라면도 완성됨 크으 존나맛있겠당 밖에서 먹으니까 개꿀맛 ㅗㅜㅑ 그와중에 머장님 냄비들고 국물 원샷하심 미끼도 다쓰고 밥도 먹었으니 슬슬 복귀준비함 가다가 중간에 비둘기 아죠씨가 온다고해서 휴계소에서 기다렸지만 결국 오지않은것.. 바통수 얼얼 보닌쟝이 부리에 관심을 보이니까 뎁차이 아죠씨가 쿨하게 키 주시면서 깔면 인수라고 하시는데 ㄹㅇ 살벌.. 삼박에 물건도 꽉꽉 채워나서 자빠트릴꺼같았는데 시트고가 낮아서 그런지 후진도 쉽게쉽게함 자세도 되게 편했고 특히 스탠딩 자세는 신세계였뜸 요거로 ㄹㅇ 일본투어가도 개편할꺼같더라 다만 아쉬운게있다면 엔진이 조금 심심하다 ? 좋게말하면 부드럽게 잘 셋팅된듯 마치 혼다차를 타는느낌 세컨으로 CRF250랠리 고민했는데 요거타보니까 뽐뿌 죵나온당.. 뎁차이 아재에게 아쟝 함 타보라고 키드림 무서워서 알피엠은 7천밖에 몬쓰셨다고... ㅋㅋㅋ 이래저래해서 복귀하고 식고 잠 ㅋ 출근만아니였음 텐트가져가는건데.. 잠만 안잤지 모캠 맛보기하니까 삼박 투어러 넘나땡기긴 하지만 여중생쟝은 모캠갈땐 R차에 슈트입고 카드만 들고가는거시에여  Eloim Essaim 私たちは要求訴えた。 [원본 갤러리에서 보기]"
"2018-08-28 15:04:39","http://gall.dcinside.com/board/view/?id=superidea&no=156677&page=2","어제 밤 티라이트 바갤벙 사진   초개념 갤러리","초개념","CATSHI","2018 08 27 10:54:01","Erica님 알식이   미들급에서 천하일미라 불리우는 이유가 뭔지 엔진소리가 참 아름다웠다. 세이아크님 cbr650f   혼다 4기통은 정숙하고 부드럽습니다. 나도 타고 싶다. 닌자400...닉이 기억 안난다.   얼마 후 모텔09 후장을 따게 될 줄 누가 알았을까 잦이맨   후장 따인 모텔09...애정으로 꾸며 놓은게 보였습니다. 모드 바꾸니 슬로틀이 조낸 민감해서 왜 야마하의 미친년인지 알겠더라 모듬샷도 찍어주고...카메라가 연식이 좀 있는 미러러스라 야간에는 약하다. IOS 민감하게 해서 찎으려 해도 쉽질 않네 ㅠㅠ 오렌지 빛 가로등의 조명 속에 찍으니 이리 나온다. 하늘에 반짝이는 것은 인천공항으로 가는 여객기다. 세이아크님의 촬영하는 모습 그 와중 북악에서 미친듯한 경찰 단속과 방송국 기자들의 촬영으로 한바탕 난리라는 소식을 듣고 껄껄 거리며 바닷 바람을 맞고 쉬었다. 닌자 400 계기판 이쁘더라. 정보가 충분히 표시가 된다. 야간사진 찍기 까다롭다 으으 복귀 시작 이후 나도 무복 열대야라 한 밤에도 더웠다. 열섬 현상 좀 어서 해결되면 좋겠는데 고기압이 강해서 오려던 태풍도 밀어내서 한동안 이런 기온이 유지될 것 같더만 ㅠㅠ [원본 갤러리에서 보기]"
"2018-08-28 15:04:39","http://gall.dcinside.com/board/view/?id=superidea&no=156676&page=2","LG G7 으로 찍은 음식사진들   초개념 갤러리","초개념","12수능대박","2018 08 27 10:00:02","  dc official App [원본 갤러리에서 보기]"
"2018-08-28 15:04:40","http://gall.dcinside.com/board/view/?id=superidea&no=156675&page=2","솜사탕   초개념 갤러리","초개념","박창","2018 08 27 10:00:02","습작 단편으로 한번 그려봤습니닷 [원본 갤러리에서 보기]"
"2018-08-28 15:04:41","http://gall.dcinside.com/board/view/?id=superidea&no=156674&page=2","[데이터] 아프지 않을 것 같은 기술 'STF'에 대한 사실   초개념 갤러리","초개념","뛟","2018 08 27 10:00:02","2005년 11월 28일(이하 현지시간) RAW에서는 당시 존 시나와 대립을 펼치던 에릭 비숍 단장이 존 시나가 WWE 챔피언 벨트를 수성하지 못하는 방안으로 WWE 챔피언십 '서브미션 매치'를 매칭시켰다. (서브미션 기술로만 승리가 가능한 경기 방식) 커트 앵글 vs 존 시나(c) vs 크리스 매스터스 이 당시 서브미션 기술이 없었던 존 시나를 대놓고 겨냥한 에릭 비숍 단장의 경기 부킹이었다. 커트 앵글의 '앵클 락' 크리스 매스터스의 '매스터 락' 두 선수의 서브미션 기술에  속수무책으로 당하고 있던 존 시나 이대로 당할 수만 없었던 존 시나는 고심 끝에  결국 서브미션 기술을 사용하기 시작하는데 결국 세상에 처음으로 모습을 드러낸 존 시나의 서브미션 기술 STF(당시에는 STFU) 그렇게 존 시나의 STF가 탄생했다. [원본 갤러리에서 보기]"
"2018-08-28 15:04:41","http://gall.dcinside.com/board/view/?id=superidea&no=156673&page=2","180818 4seasons s/s 솔라 12pic by 열려라!참깨   초개념 갤러리","초개념","ㅇㅇ","2018 08 27 10:00:02","by open!sesame [원본 갤러리에서 보기]"
"2018-08-28 15:04:42","http://gall.dcinside.com/board/view/?id=superidea&no=156672&page=3","오늘 경기 멀티히트 안치홍.gif (데이터 20mb)   초개념 갤러리","초개념","황대인","2018 08 27 10:00:02","팀 첫 안타 멀티히트 [원본 갤러리에서 보기]"
"2018-08-28 15:04:42","http://gall.dcinside.com/board/view/?id=superidea&no=156671&page=3","짹펌) 오늘자 오마이걸 나고야 이벤트 사진 긁어모아봤다   초개념 갤러리","초개념","ㅇㅇ","2018 08 27 10:00:02","효정 미미는 아직 올라온게 없다 [원본 갤러리에서 보기]"
"2018-08-28 15:04:43","http://gall.dcinside.com/board/view/?id=superidea&no=156670&page=3","180825 수정이와 아이컨택   초개념 갤러리","초개념","캔디젤리러브♪","2018 08 27 10:00:02","수정이와 아이컨.....아니 렌즈컨택.ㅎ 우연히 건져진 아컨이지만 기분좋다.ㅎㅎ 뽀나스로 지애와의 아컨짤도~ [원본 갤러리에서 보기]"
"2018-08-28 15:04:43","http://gall.dcinside.com/board/view/?id=superidea&no=156669&page=3","E09.속 괜찮냐?.jpgif   초개념 갤러리","초개념","앗힝","2018 08 27 10:00:02"," 로고크롭 및 2차가공 금지. 출처 밝혀주세요    Do not edit photos Do not edit logo crop please [원본 갤러리에서 보기]"
