"collected_time","url","no","title","auther"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","공지","'캡틴 코리아' 역할 캐스팅 1순위 '근육남' 스타는?","ㅇㅇ"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156761","[멍갤] 안녕하세요 절미 움짤 놓고 갑니당","쌀과자"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156760","[오갤] 붉은색 스포 이건가 ㅋㅋㅋ","ㅇㅇ"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156759","[멍갤] 아무리 절미가 지금 인기가 많아도 개죽이는 월드클래스임","덜지"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156758","[기음] 뚱뚱보 30대 아재의 만두와 노트9와 집밥","6D"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156757","[토갤] 탱크모드","백 호"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156756","[냥갤] 냥장콘 이거 신청할까ㅋㅋㅋㅋ","곰부대"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156755","[기음] 오늘 하루일당 8만원 번 아재의 저녁밥.jpg","오승희"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156754","[국갤] 현재 베트남 상황...jpg","ㅇㅇ"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156753","[해갤] 황의조 졸업사진.jpg","황대인"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156752","[K갤] 외국인이 보는 한국의 거리.jpg","써커펀치"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156751","[문갤] 필사. 별은 너에게로. 박노해.","우디제독"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156750","[냥갤] 소말리 고양이 고로 냥장콘 신청 팍팍","ㅇㅇ"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156749","[히갤] MCU 우주의 고대적 존재들에 대해 알아보자","승기픽스"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156748","[이갤] 물한잔 마시고","ATU"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156747","[러갤] 180825 정선 하이원 리조트 하나의가을 (1/3)","쯔평성대"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156746","[기갤] [깊념] 쯔위 얼빡 레전드 떳다 ㄷㄷㄷㄷㄷ","핸델"
"2018-08-28 11:20:31","http://gall.dcinside.com/board/lists/?id=superidea","156745","[소갤] [영상] 프멀9강 이리스 데이드림 2분38초","아하모마"
