"collected_time","url","title","price","sales_rate"
"2018-10-31 16:49:52","https://front.wemakeprice.com/product/100325867?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=24&_service=3&source=dealsearch","[인파로] USB 멀티 모니터 디스플레이 그래픽 아답터 INM 22C","48,900","1"
"2018-10-31 16:49:53","https://front.wemakeprice.com/product/121793537?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=25&_service=3&source=dealsearch","(T) VCF 11/VGA카드/그래픽카드/쿨러/쿨링팬/FAN","14,500","0"
"2018-10-31 16:49:54","https://front.wemakeprice.com/product/121692005?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=26&_service=3&source=dealsearch","(T)VF 5010 2P Plus/VGA쿨러/그래픽카드/쿨러/쿨링","8,900","0"
"2018-10-31 16:49:55","https://front.wemakeprice.com/product/121689941?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=27&_service=3&source=dealsearch","(T)ICExSHOW/ISV 3000D/VGA카드/그래픽카드/쿨러","53,900","0"
"2018-10-31 16:49:56","https://front.wemakeprice.com/product/121687119?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=28&_service=3&source=dealsearch","(T)VFR 7010 3P/VGA카드/그래픽카드/쿨러/쿨링팬/FA","14,500","0"
"2018-10-31 16:49:58","https://front.wemakeprice.com/product/121686107?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=29&_service=3&source=dealsearch","(T)TOP MOTOR/DF128010SM/VGA카드/그래픽카드/","12,900","0"
"2018-10-31 16:49:59","https://front.wemakeprice.com/product/121685153?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=30&_service=3&source=dealsearch","(T)VCF 13/VGA카드/그래픽카드/쿨러/쿨링팬/FAN","20,500","0"
"2018-10-31 16:50:00","https://front.wemakeprice.com/product/121684913?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=31&_service=3&source=dealsearch","(T)VCF 12/VGA카드/그래픽카드/쿨러/쿨링팬/FAN","18,900","0"
"2018-10-31 16:50:02","https://front.wemakeprice.com/product/121684527?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=1&_service=3&source=dealsearch","(T)VCF 10/VGA카드/그래픽카드/쿨러/쿨링팬/FAN","20,500","0"
"2018-10-31 16:50:03","https://front.wemakeprice.com/product/121684216?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=2&_service=3&source=dealsearch","(T) VCF 09/VGA카드/그래픽카드/쿨러/쿨링팬/FAN","20,500","0"
"2018-10-31 16:50:04","https://front.wemakeprice.com/product/121684034?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=3&_service=3&source=dealsearch","(T)VCF 07/VGA 쿨러/그래픽카드용/쿨러/쿨링팬/FAN","14,500","0"
