"collected_time","url","title","price","sales_rate"
"2018-11-01 10:22:16","https://front.wemakeprice.com/product/108822447?search_keyword=book&no=1&_service=3&source=dealsearch","그랩더기타 Song Book 200 최고 품질의 Youtube 영상 강의 제공, 200곡 수록   그랩더기","16,200","4"
"2018-11-01 10:22:19","https://front.wemakeprice.com/product/115739323?search_keyword=book&no=2&_service=3&source=dealsearch","2019 한눈에 가계부 CALENDAR CASH BOOK","6,860","48"
"2018-11-01 10:22:21","https://front.wemakeprice.com/product/122180733?search_keyword=book&no=3&_service=3&source=dealsearch","편안하고 사랑스럽고 그래 Love Book   퍼엉","12,600","0"
"2018-11-01 10:22:23","https://front.wemakeprice.com/product/110034740?search_keyword=book&no=4&_service=3&source=dealsearch","Reading Cue 2 (Book + Workbook + 2..","12,150","1"
"2018-11-01 10:22:25","https://front.wemakeprice.com/product/106960519?search_keyword=book&no=5&_service=3&source=dealsearch","[길벗스쿨] 기적의영어리딩30 BOOK 2","10,800","9"
"2018-11-01 10:22:26","https://front.wemakeprice.com/product/109290237?search_keyword=book&no=6&_service=3&source=dealsearch","CD Book 우리 동요 + 영어 동요 세트   전2권   애..","15,300","3"
"2018-11-01 10:22:28","https://front.wemakeprice.com/product/110035823?search_keyword=book&no=7&_service=3&source=dealsearch","Diary of a Wimpy Kid Book 8 Hard L..","5,200","3"
