2018-10-31 16:55:57 INFO  Crawler:218 - ============== Start Crawler =============
2018-10-31 16:55:57 INFO  Crawler:219 - CONFIG FILE    : ./config/config_action.json
2018-10-31 16:55:57 INFO  Crawler:221 - CMD PARAM 00   : 그래픽카드
2018-10-31 16:55:57 INFO  Crawler:223 - CRAWLER NAME   : 액션기반_크롤링
2018-10-31 16:55:57 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_DYNAMIC
2018-10-31 16:55:57 INFO  Crawler:225 - IGNORE ROBOTS  : false
2018-10-31 16:55:57 INFO  Crawler:226 - LIMIT_COUNT    : 100
2018-10-31 16:55:57 INFO  Crawler:227 - FILTER COUNT   : 0
2018-10-31 16:55:57 INFO  Crawler:231 - SCENARIO COUNT : 2
2018-10-31 16:55:57 INFO  Crawler:232 - COLLECT COUNT  : 1
2018-10-31 16:55:57 INFO  Crawler:233 - SAVE TYPE      : CSV
2018-10-31 16:55:57 INFO  Crawler:234 - SAVE HTML      : true
2018-10-31 16:55:57 INFO  Crawler:235 - ==========================================
2018-10-31 16:56:20 INFO  Crawler:264 - [Progress 49] save : 8, err : 0, remain_work : 1, total : 50
2018-10-31 16:56:20 INFO  Crawler:264 - [Progress 50] save : 8, err : 0, remain_work : 3, total : 53
2018-10-31 16:56:20 INFO  Crawler:264 - [Progress 51] save : 8, err : 0, remain_work : 2, total : 53
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 52] save : 8, err : 0, remain_work : 4, total : 56
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 53] save : 8, err : 0, remain_work : 3, total : 56
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 54] save : 9, err : 0, remain_work : 2, total : 56
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 55] save : 9, err : 0, remain_work : 1, total : 56
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 56] save : 9, err : 0, remain_work : 3, total : 59
2018-10-31 16:56:21 INFO  Crawler:264 - [Progress 57] save : 9, err : 0, remain_work : 2, total : 59
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 58] save : 9, err : 0, remain_work : 4, total : 62
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 59] save : 9, err : 0, remain_work : 3, total : 62
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 60] save : 10, err : 0, remain_work : 2, total : 62
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 61] save : 10, err : 0, remain_work : 1, total : 62
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 62] save : 10, err : 0, remain_work : 3, total : 65
2018-10-31 16:56:25 INFO  Crawler:264 - [Progress 63] save : 10, err : 0, remain_work : 2, total : 65
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 64] save : 10, err : 0, remain_work : 4, total : 68
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 65] save : 10, err : 0, remain_work : 3, total : 68
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 66] save : 11, err : 0, remain_work : 2, total : 68
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 67] save : 11, err : 0, remain_work : 1, total : 68
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 68] save : 11, err : 0, remain_work : 3, total : 71
2018-10-31 16:56:27 INFO  Crawler:264 - [Progress 69] save : 11, err : 0, remain_work : 2, total : 71
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 70] save : 11, err : 0, remain_work : 4, total : 74
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 71] save : 11, err : 0, remain_work : 3, total : 74
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 72] save : 12, err : 0, remain_work : 2, total : 74
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 73] save : 12, err : 0, remain_work : 1, total : 74
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 74] save : 12, err : 0, remain_work : 3, total : 77
2018-10-31 16:56:28 INFO  Crawler:264 - [Progress 75] save : 12, err : 0, remain_work : 2, total : 77
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 76] save : 12, err : 0, remain_work : 4, total : 80
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 77] save : 12, err : 0, remain_work : 3, total : 80
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 78] save : 13, err : 0, remain_work : 2, total : 80
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 79] save : 13, err : 0, remain_work : 1, total : 80
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 80] save : 13, err : 0, remain_work : 3, total : 83
2018-10-31 16:56:29 INFO  Crawler:264 - [Progress 81] save : 13, err : 0, remain_work : 2, total : 83
2018-10-31 16:56:31 INFO  Crawler:264 - [Progress 82] save : 13, err : 0, remain_work : 4, total : 86
2018-10-31 16:56:31 INFO  Crawler:264 - [Progress 83] save : 13, err : 0, remain_work : 3, total : 86
2018-10-31 16:56:31 INFO  Crawler:264 - [Progress 84] save : 14, err : 0, remain_work : 2, total : 86
