2018-11-07 18:16:50 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-07 18:16:50 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-07 18:16:50 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-07 18:16:50 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-07 18:16:50 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-07 18:16:50 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-07 18:16:50 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-07 18:16:50 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-07 18:16:50 INFO  Crawler:232 - SCENARIO COUNT : 5
2018-11-07 18:16:50 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-07 18:16:50 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-07 18:16:50 INFO  Crawler:235 - SAVE HTML      : false
2018-11-07 18:16:50 INFO  Crawler:236 - ==========================================
2018-11-07 18:16:54 INFO  Crawler:266 - [Progress 1] save : 0, err : 0, remain_work : 6, total : 7
2018-11-07 18:16:57 INFO  Crawler:266 - [Progress 2] save : 0, err : 0, remain_work : 29, total : 31
2018-11-07 18:17:01 INFO  Crawler:266 - [Progress 3] save : 0, err : 0, remain_work : 65, total : 68
2018-11-07 18:17:04 ERROR Crawler:258 - [ERR URL] https://news.naver.com/main/list.nhn?mode=LPOD&mid=sec&oid=293
2018-11-07 18:17:04 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-07 18:17:04 INFO  Crawler:266 - [Progress 4] save : 0, err : 1, remain_work : 86, total : 90
2018-11-07 18:17:07 INFO  Crawler:266 - [Progress 5] save : 0, err : 1, remain_work : 113, total : 118
2018-11-07 18:17:10 INFO  Crawler:266 - [Progress 6] save : 0, err : 1, remain_work : 146, total : 152
2018-11-07 18:17:13 INFO  Crawler:266 - [Progress 7] save : 0, err : 1, remain_work : 171, total : 178
2018-11-07 18:17:17 INFO  Crawler:266 - [Progress 8] save : 0, err : 1, remain_work : 170, total : 178
2018-11-07 18:17:20 INFO  Crawler:266 - [Progress 9] save : 0, err : 1, remain_work : 169, total : 178
2018-11-07 18:17:23 INFO  Crawler:266 - [Progress 10] save : 0, err : 1, remain_work : 168, total : 178
2018-11-07 18:17:26 INFO  Crawler:266 - [Progress 11] save : 0, err : 1, remain_work : 167, total : 178
2018-11-07 18:17:29 INFO  Crawler:266 - [Progress 12] save : 1, err : 1, remain_work : 166, total : 178
2018-11-07 18:17:32 INFO  Crawler:266 - [Progress 13] save : 1, err : 1, remain_work : 165, total : 178
2018-11-07 18:17:35 INFO  Crawler:266 - [Progress 14] save : 1, err : 1, remain_work : 164, total : 178
2018-11-07 18:17:38 INFO  Crawler:266 - [Progress 15] save : 1, err : 1, remain_work : 163, total : 178
2018-11-07 18:17:41 INFO  Crawler:266 - [Progress 16] save : 1, err : 1, remain_work : 162, total : 178
2018-11-07 18:17:44 INFO  Crawler:266 - [Progress 17] save : 2, err : 1, remain_work : 161, total : 178
2018-11-07 18:17:47 INFO  Crawler:266 - [Progress 18] save : 3, err : 1, remain_work : 160, total : 178
2018-11-07 18:17:50 INFO  Crawler:266 - [Progress 19] save : 3, err : 1, remain_work : 159, total : 178
