"collected_time","url","keyword","category","goods_name"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","맛있는김 광천김 전장김 식탁김 20g 12봉"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","대천김 재래김 10봉,20봉,30봉 김선물세트"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","대천김(주) 본사 곱창김 캔김 35gX6캔"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","[바다소리] 최고급 생돌김, 곱창김 10봉"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,반찬,기타반찬류","남원 김부각 추천 15g x 30팩 화사"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,반찬,기타반찬류","남원 찹쌀 화사 김부각"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","2018년 햇 명품 완도곱창재래돌김1톳 100장"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","서천 시골 도시락김 16봉"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","성경식품 지도표 재래식 성경김 골드 60g x 20봉"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","늘품애 황금빛 광천 전장김 선물세트 25g x 10개입"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,반찬,기타반찬류","마마무 화사가 좋아하는 김부각 10팩 자반"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","28일 새벽 햇원초로 만든 완도 곱창김 재래돌김 파래김"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","3박스이상 무료배송 광천별맛김 파래김 재래김 광천김"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","청정원 들기름 바사삭김 64봉 4g x 16봉 x 4개"
"2018-11-12 14:49:11","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","본사직송 대천김 재래김 10봉"
