"collected_time","url","keyword","category","goods_name"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,생선,연어/훈제연어","밥강도 임가네 특제 연어장, 임가네 김부각"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","[명가김]명가참좋은돌김세트(3캔)"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","수(秀) 건파래 500g 절단"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","국내산 햇 파래김 100장 전남 해남 생산"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","청정원 들기름 재래김 도시락김 18개"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,반찬,기타반찬류","임가네김부각 임가네 김부각"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","[바다소리] 생돌김 전장(4매) 10봉"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","광천김 간장에 찍어먹는 구운 무조미 파래전장김세트"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","[당일발송][늘품애] 황금빛 김이 가득광천도시락김 190원 외골라담기 모음전!   우리집 식탁의 밥도둑!"
"2018-11-12 14:54:34","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EA%B9%80","김","식품,수산,김/해초,김","[제일"collected_time","url","keyword","category","goods_name"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 신라면/50종모음전"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","신라면 40 봉지 한박스"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 신라면 봉지 30개입 박스"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","라면 한잔할래, 팔킨 라면티백"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","라면 국물 티백, 라면티백 set"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 쇠고기 미역국라면 멀티 115g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","마트에도 없는 라면 80종 신라면 감자탕면"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 진짬뽕 130g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","팔도 일품 해물라면 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기진라면 매운맛 40봉 120g 40ea   [오뚜기] 진라면40봉 외 뚜기라면 총집합"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","라면 국물 티백, 라면티백 set"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","팔도 틈새라면 빨계떡 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","삼양라면 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 신라면 120g"
