2018-11-12 13:19:48 INFO  Crawler:181 - ============== Start Crawler =============
2018-11-12 13:19:48 INFO  Crawler:182 - CONFIG FILE    : 
2018-11-12 13:19:48 INFO  Crawler:188 - CRAWLER NAME   : domeggook
2018-11-12 13:19:48 INFO  Crawler:189 - CRAWLER TYPE   : SCENARIO_DYNAMIC
2018-11-12 13:19:48 INFO  Crawler:190 - CRAWLER DELAY  : 0 sec
2018-11-12 13:19:48 INFO  Crawler:191 - IGNORE ROBOTS  : true
2018-11-12 13:19:48 INFO  Crawler:192 - LIMIT_COUNT    : -1
2018-11-12 13:19:48 INFO  Crawler:193 - FILTER COUNT   : 0
2018-11-12 13:19:48 INFO  Crawler:197 - SCENARIO COUNT : 2
2018-11-12 13:19:48 INFO  Crawler:198 - COLLECT COUNT  : 1
2018-11-12 13:19:48 INFO  Crawler:199 - SAVE TYPE      : DB
2018-11-12 13:19:48 INFO  Crawler:200 - SAVE HTML      : true
2018-11-12 13:19:48 INFO  Crawler:201 - ==========================================
2018-11-12 13:20:22 INFO  Crawler:231 - [Progress 41] elaped time : 00:00:33, save : 10, err : 0, remain_work : 43, total : 84
2018-11-12 13:20:22 INFO  Crawler:231 - [Progress 42] elaped time : 00:00:34, save : 10, err : 0, remain_work : 42, total : 84
2018-11-12 13:20:23 INFO  Crawler:231 - [Progress 43] elaped time : 00:00:34, save : 10, err : 0, remain_work : 44, total : 87
2018-11-12 13:20:23 INFO  Crawler:231 - [Progress 44] elaped time : 00:00:34, save : 10, err : 0, remain_work : 43, total : 87
2018-11-12 13:20:24 INFO  Crawler:231 - [Progress 45] elaped time : 00:00:35, save : 11, err : 0, remain_work : 42, total : 87
2018-11-12 13:20:24 INFO  Crawler:231 - [Progress 46] elaped time : 00:00:36, save : 11, err : 0, remain_work : 41, total : 87
2018-11-12 13:20:25 INFO  Crawler:231 - [Progress 47] elaped time : 00:00:36, save : 11, err : 0, remain_work : 43, total : 90
2018-11-12 13:20:25 INFO  Crawler:231 - [Progress 48] elaped time : 00:00:36, save : 11, err : 0, remain_work : 42, total : 90
2018-11-12 13:20:27 INFO  Crawler:231 - [Progress 49] elaped time : 00:00:38, save : 12, err : 0, remain_work : 41, total : 90
2018-11-12 13:20:27 INFO  Crawler:231 - [Progress 50] elaped time : 00:00:38, save : 12, err : 0, remain_work : 40, total : 90
2018-11-12 13:20:27 INFO  Crawler:231 - [Progress 51] elaped time : 00:00:38, save : 12, err : 0, remain_work : 42, total : 93
2018-11-12 13:20:27 INFO  Crawler:231 - [Progress 52] elaped time : 00:00:38, save : 12, err : 0, remain_work : 41, total : 93
2018-11-12 13:20:29 INFO  Crawler:231 - [Progress 53] elaped time : 00:00:40, save : 13, err : 0, remain_work : 40, total : 93
2018-11-12 13:20:29 INFO  Crawler:231 - [Progress 54] elaped time : 00:00:40, save : 13, err : 0, remain_work : 39, total : 93
2018-11-12 13:20:29 INFO  Crawler:231 - [Progress 55] elaped time : 00:00:41, save : 13, err : 0, remain_work : 41, total : 96
2018-11-12 13:20:29 INFO  Crawler:231 - [Progress 56] elaped time : 00:00:41, save : 13, err : 0, remain_work : 40, total : 96
2018-11-12 13:20:31 INFO  Crawler:231 - [Progress 57] elaped time : 00:00:42, save : 14, err : 0, remain_work : 39, total : 96
2018-11-12 13:20:31 INFO  Crawler:231 - [Progress 58] elaped time : 00:00:42, save : 14, err : 0, remain_work : 38, total : 96
2018-11-12 13:20:31 INFO  Crawler:231 - [Progress 59] elaped time : 00:00:43, save : 14, err : 0, remain_work : 40, total : 99
2018-11-12 13:20:31 INFO  Crawler:231 - [Progress 60] elaped time : 00:00:43, save : 14, err : 0, remain_work : 39, total : 99
2018-11-12 13:20:33 INFO  Crawler:231 - [Progress 61] elaped time : 00:00:44, save : 15, err : 0, remain_work : 38, total : 99
2018-11-12 13:20:33 INFO  Crawler:231 - [Progress 62] elaped time : 00:00:44, save : 15, err : 0, remain_work : 37, total : 99
2018-11-12 13:20:33 INFO  Crawler:231 - [Progress 63] elaped time : 00:00:44, save : 15, err : 0, remain_work : 39, total : 102
2018-11-12 13:20:33 INFO  Crawler:231 - [Progress 64] elaped time : 00:00:45, save : 15, err : 0, remain_work : 38, total : 102
2018-11-12 13:20:35 INFO  Crawler:231 - [Progress 65] elaped time : 00:00:46, save : 16, err : 0, remain_work : 37, total : 102
2018-11-12 13:20:35 INFO  Crawler:231 - [Progress 66] elaped time : 00:00:46, save : 16, err : 0, remain_work : 36, total : 102
2018-11-12 13:20:35 INFO  Crawler:231 - [Progress 67] elaped time : 00:00:47, save : 16, err : 0, remain_work : 38, total : 105
2018-11-12 13:20:35 INFO  Crawler:231 - [Progress 68] elaped time : 00:00:47, save : 16, err : 0, remain_work : 37, total : 105
2018-11-12 13:20:37 INFO  Crawler:231 - [Progress 69] elaped time : 00:00:48, save : 17, err : 0, remain_work : 36, total : 105
2018-11-12 13:20:37 INFO  Crawler:231 - [Progress 70] elaped time : 00:00:48, save : 17, err : 0, remain_work : 35, total : 105
2018-11-12 13:20:38 INFO  Crawler:231 - [Progress 71] elaped time : 00:00:49, save : 17, err : 0, remain_work : 37, total : 108
2018-11-12 13:20:38 INFO  Crawler:231 - [Progress 72] elaped time : 00:00:49, save : 17, err : 0, remain_work : 36, total : 108
2018-11-12 13:20:39 INFO  Crawler:231 - [Progress 73] elaped time : 00:00:50, save : 18, err : 0, remain_work : 35, total : 108
2018-11-12 13:20:39 INFO  Crawler:231 - [Progress 74] elaped time : 00:00:50, save : 18, err : 0, remain_work : 34, total : 108
2018-11-12 13:20:39 INFO  Crawler:231 - [Progress 75] elaped time : 00:00:51, save : 18, err : 0, remain_work : 36, total : 111
2018-11-12 13:20:39 INFO  Crawler:231 - [Progress 76] elaped time : 00:00:51, save : 18, err : 0, remain_work : 35, total : 111
2018-11-12 13:20:41 INFO  Crawler:231 - [Progress 77] elaped time : 00:00:53, save : 19, err : 0, remain_work : 34, total : 111
2018-11-12 13:20:41 INFO  Crawler:231 - [Progress 78] elaped time : 00:00:53, save : 19, err : 0, remain_work : 33, total : 111
2018-11-12 13:20:42 INFO  Crawler:231 - [Progress 79] elaped time : 00:00:53, save : 19, err : 0, remain_work : 35, total : 114
2018-11-12 13:20:42 INFO  Crawler:231 - [Progress 80] elaped time : 00:00:53, save : 19, err : 0, remain_work : 34, total : 114
2018-11-12 13:20:43 INFO  Crawler:231 - [Progress 81] elaped time : 00:00:55, save : 20, err : 0, remain_work : 33, total : 114
2018-11-12 13:20:43 INFO  Crawler:231 - [Progress 82] elaped time : 00:00:55, save : 20, err : 0, remain_work : 32, total : 114
2018-11-12 13:20:44 INFO  Crawler:231 - [Progress 83] elaped time : 00:00:55, save : 20, err : 0, remain_work : 34, total : 117
2018-11-12 13:20:44 INFO  Crawler:231 - [Progress 84] elaped time : 00:00:55, save : 20, err : 0, remain_work : 33, total : 117
2018-11-12 13:20:45 INFO  Crawler:231 - [Progress 85] elaped time : 00:00:57, save : 21, err : 0, remain_work : 32, total : 117
2018-11-12 13:20:45 INFO  Crawler:231 - [Progress 86] elaped time : 00:00:57, save : 21, err : 0, remain_work : 31, total : 117
2018-11-12 13:20:46 INFO  Crawler:231 - [Progress 87] elaped time : 00:00:57, save : 21, err : 0, remain_work : 33, total : 120
2018-11-12 13:20:46 INFO  Crawler:231 - [Progress 88] elaped time : 00:00:57, save : 21, err : 0, remain_work : 32, total : 120
2018-11-12 13:20:47 INFO  Crawler:231 - [Progress 89] elaped time : 00:00:58, save : 22, err : 0, remain_work : 31, total : 120
2018-11-12 13:20:47 INFO  Crawler:231 - [Progress 90] elaped time : 00:00:58, save : 22, err : 0, remain_work : 30, total : 120
2018-11-12 13:20:47 INFO  Crawler:231 - [Progress 91] elaped time : 00:00:59, save : 22, err : 0, remain_work : 32, total : 123
2018-11-12 13:20:47 INFO  Crawler:231 - [Progress 92] elaped time : 00:00:59, save : 22, err : 0, remain_work : 31, total : 123
2018-11-12 13:20:49 INFO  Crawler:231 - [Progress 93] elaped time : 00:01:00, save : 23, err : 0, remain_work : 30, total : 123
2018-11-12 13:20:49 INFO  Crawler:231 - [Progress 94] elaped time : 00:01:00, save : 23, err : 0, remain_work : 29, total : 123
2018-11-12 13:20:49 INFO  Crawler:231 - [Progress 95] elaped time : 00:01:01, save : 23, err : 0, remain_work : 31, total : 126
2018-11-12 13:20:49 INFO  Crawler:231 - [Progress 96] elaped time : 00:01:01, save : 23, err : 0, remain_work : 30, total : 126
2018-11-12 13:20:51 INFO  Crawler:231 - [Progress 97] elaped time : 00:01:02, save : 24, err : 0, remain_work : 29, total : 126
2018-11-12 13:20:51 INFO  Crawler:231 - [Progress 98] elaped time : 00:01:02, save : 24, err : 0, remain_work : 28, total : 126
2018-11-12 13:20:51 INFO  Crawler:231 - [Progress 99] elaped time : 00:01:02, save : 24, err : 0, remain_work : 30, total : 129
2018-11-12 13:20:51 INFO  Crawler:231 - [Progress 100] elaped time : 00:01:02, save : 24, err : 0, remain_work : 29, total : 129
2018-11-12 13:20:53 INFO  Crawler:231 - [Progress 101] elaped time : 00:01:04, save : 25, err : 0, remain_work : 28, total : 129
2018-11-12 13:20:53 INFO  Crawler:231 - [Progress 102] elaped time : 00:01:04, save : 25, err : 0, remain_work : 27, total : 129
2018-11-12 13:20:53 INFO  Crawler:231 - [Progress 103] elaped time : 00:01:05, save : 25, err : 0, remain_work : 29, total : 132
2018-11-12 13:20:53 INFO  Crawler:231 - [Progress 104] elaped time : 00:01:05, save : 25, err : 0, remain_work : 28, total : 132
2018-11-12 13:20:55 INFO  Crawler:231 - [Progress 105] elaped time : 00:01:06, save : 26, err : 0, remain_work : 27, total : 132
2018-11-12 13:20:55 INFO  Crawler:231 - [Progress 106] elaped time : 00:01:06, save : 26, err : 0, remain_work : 26, total : 132
2018-11-12 13:20:55 INFO  Crawler:231 - [Progress 107] elaped time : 00:01:07, save : 26, err : 0, remain_work : 28, total : 135
2018-11-12 13:20:55 INFO  Crawler:231 - [Progress 108] elaped time : 00:01:07, save : 26, err : 0, remain_work : 27, total : 135
2018-11-12 13:20:57 INFO  Crawler:231 - [Progress 109] elaped time : 00:01:08, save : 27, err : 0, remain_work : 26, total : 135
2018-11-12 13:20:57 INFO  Crawler:231 - [Progress 110] elaped time : 00:01:08, save : 27, err : 0, remain_work : 25, total : 135
2018-11-12 13:20:57 INFO  Crawler:231 - [Progress 111] elaped time : 00:01:08, save : 27, err : 0, remain_work : 27, total : 138
2018-11-12 13:20:57 INFO  Crawler:231 - [Progress 112] elaped time : 00:01:09, save : 27, err : 0, remain_work : 26, total : 138
2018-11-12 13:20:59 INFO  Crawler:231 - [Progress 113] elaped time : 00:01:10, save : 28, err : 0, remain_work : 25, total : 138
2018-11-12 13:20:59 INFO  Crawler:231 - [Progress 114] elaped time : 00:01:10, save : 28, err : 0, remain_work : 24, total : 138
2018-11-12 13:20:59 INFO  Crawler:231 - [Progress 115] elaped time : 00:01:10, save : 28, err : 0, remain_work : 26, total : 141
2018-11-12 13:20:59 INFO  Crawler:231 - [Progress 116] elaped time : 00:01:10, save : 28, err : 0, remain_work : 25, total : 141
2018-11-12 13:21:01 INFO  Crawler:231 - [Progress 117] elaped time : 00:01:12, save : 29, err : 0, remain_work : 24, total : 141
2018-11-12 13:21:01 INFO  Crawler:231 - [Progress 118] elaped time : 00:01:12, save : 29, err : 0, remain_work : 23, total : 141
2018-11-12 13:21:01 INFO  Crawler:231 - [Progress 119] elaped time : 00:01:13, save : 29, err : 0, remain_work : 25, total : 144
2018-11-12 13:21:01 INFO  Crawler:231 - [Progress 120] elaped time : 00:01:13, save : 29, err : 0, remain_work : 24, total : 144
2018-11-12 13:21:03 INFO  Crawler:231 - [Progress 121] elaped time : 00:01:14, save : 30, err : 0, remain_work : 23, total : 144
2018-11-12 13:21:03 INFO  Crawler:231 - [Progress 122] elaped time : 00:01:14, save : 30, err : 0, remain_work : 22, total : 144
2018-11-12 13:21:03 INFO  Crawler:231 - [Progress 123] elaped time : 00:01:15, save : 30, err : 0, remain_work : 24, total : 147
2018-11-12 13:21:03 INFO  Crawler:231 - [Progress 124] elaped time : 00:01:15, save : 30, err : 0, remain_work : 23, total : 147
2018-11-12 13:21:05 INFO  Crawler:231 - [Progress 125] elaped time : 00:01:16, save : 31, err : 0, remain_work : 22, total : 147
2018-11-12 13:21:05 INFO  Crawler:231 - [Progress 126] elaped time : 00:01:16, save : 31, err : 0, remain_work : 21, total : 147
2018-11-12 13:21:05 INFO  Crawler:231 - [Progress 127] elaped time : 00:01:17, save : 31, err : 0, remain_work : 23, total : 150
2018-11-12 13:21:05 INFO  Crawler:231 - [Progress 128] elaped time : 00:01:17, save : 31, err : 0, remain_work : 22, total : 150
2018-11-12 13:21:08 INFO  Crawler:231 - [Progress 129] elaped time : 00:01:19, save : 32, err : 0, remain_work : 21, total : 150
2018-11-12 13:21:08 INFO  Crawler:231 - [Progress 130] elaped time : 00:01:19, save : 32, err : 0, remain_work : 20, total : 150
2018-11-12 13:21:08 INFO  Crawler:231 - [Progress 131] elaped time : 00:01:20, save : 32, err : 0, remain_work : 22, total : 153
2018-11-12 13:21:08 INFO  Crawler:231 - [Progress 132] elaped time : 00:01:20, save : 32, err : 0, remain_work : 21, total : 153
2018-11-12 13:21:10 INFO  Crawler:231 - [Progress 133] elaped time : 00:01:21, save : 33, err : 0, remain_work : 20, total : 153
2018-11-12 13:21:10 INFO  Crawler:231 - [Progress 134] elaped time : 00:01:22, save : 33, err : 0, remain_work : 19, total : 153
2018-11-12 13:21:11 INFO  Crawler:231 - [Progress 135] elaped time : 00:01:22, save : 33, err : 0, remain_work : 21, total : 156
2018-11-12 13:21:11 INFO  Crawler:231 - [Progress 136] elaped time : 00:01:22, save : 33, err : 0, remain_work : 20, total : 156
2018-11-12 13:21:12 INFO  Crawler:231 - [Progress 137] elaped time : 00:01:23, save : 34, err : 0, remain_work : 19, total : 156
2018-11-12 13:21:12 INFO  Crawler:231 - [Progress 138] elaped time : 00:01:23, save : 34, err : 0, remain_work : 18, total : 156
2018-11-12 13:21:12 INFO  Crawler:231 - [Progress 139] elaped time : 00:01:24, save : 34, err : 0, remain_work : 20, total : 159
2018-11-12 13:21:12 INFO  Crawler:231 - [Progress 140] elaped time : 00:01:24, save : 34, err : 0, remain_work : 19, total : 159
2018-11-12 13:21:14 INFO  Crawler:231 - [Progress 141] elaped time : 00:01:25, save : 35, err : 0, remain_work : 18, total : 159
2018-11-12 13:21:14 INFO  Crawler:231 - [Progress 142] elaped time : 00:01:26, save : 35, err : 0, remain_work : 17, total : 159
2018-11-12 13:21:15 INFO  Crawler:231 - [Progress 143] elaped time : 00:01:26, save : 35, err : 0, remain_work : 19, total : 162
2018-11-12 13:21:15 INFO  Crawler:231 - [Progress 144] elaped time : 00:01:26, save : 35, err : 0, remain_work : 18, total : 162
2018-11-12 13:21:16 INFO  Crawler:231 - [Progress 145] elaped time : 00:01:27, save : 36, err : 0, remain_work : 17, total : 162
2018-11-12 13:21:16 INFO  Crawler:231 - [Progress 146] elaped time : 00:01:28, save : 36, err : 0, remain_work : 16, total : 162
2018-11-12 13:21:16 INFO  Crawler:231 - [Progress 147] elaped time : 00:01:28, save : 36, err : 0, remain_work : 18, total : 165
2018-11-12 13:21:17 INFO  Crawler:231 - [Progress 148] elaped time : 00:01:28, save : 36, err : 0, remain_work : 17, total : 165
2018-11-12 13:21:18 INFO  Crawler:231 - [Progress 149] elaped time : 00:01:29, save : 37, err : 0, remain_work : 16, total : 165
2018-11-12 13:21:18 INFO  Crawler:231 - [Progress 150] elaped time : 00:01:29, save : 37, err : 0, remain_work : 15, total : 165
2018-11-12 13:21:18 INFO  Crawler:231 - [Progress 151] elaped time : 00:01:30, save : 37, err : 0, remain_work : 17, total : 168
2018-11-12 13:21:18 INFO  Crawler:231 - [Progress 152] elaped time : 00:01:30, save : 37, err : 0, remain_work : 16, total : 168
2018-11-12 13:21:20 INFO  Crawler:231 - [Progress 153] elaped time : 00:01:32, save : 38, err : 0, remain_work : 15, total : 168
2018-11-12 13:21:20 INFO  Crawler:231 - [Progress 154] elaped time : 00:01:32, save : 38, err : 0, remain_work : 14, total : 168
2018-11-12 13:21:21 INFO  Crawler:231 - [Progress 155] elaped time : 00:01:32, save : 38, err : 0, remain_work : 16, total : 171
2018-11-12 13:21:21 INFO  Crawler:231 - [Progress 156] elaped time : 00:01:32, save : 38, err : 0, remain_work : 15, total : 171
2018-11-12 13:21:22 INFO  Crawler:231 - [Progress 157] elaped time : 00:01:34, save : 39, err : 0, remain_work : 14, total : 171
2018-11-12 13:21:23 INFO  Crawler:231 - [Progress 158] elaped time : 00:01:34, save : 39, err : 0, remain_work : 13, total : 171
2018-11-12 13:21:23 INFO  Crawler:231 - [Progress 159] elaped time : 00:01:35, save : 39, err : 0, remain_work : 15, total : 174
2018-11-12 13:21:23 INFO  Crawler:231 - [Progress 160] elaped time : 00:01:35, save : 39, err : 0, remain_work : 14, total : 174
2018-11-12 13:21:25 INFO  Crawler:231 - [Progress 161] elaped time : 00:01:36, save : 40, err : 0, remain_work : 13, total : 174
2018-11-12 13:21:25 INFO  Crawler:231 - [Progress 162] elaped time : 00:01:36, save : 40, err : 0, remain_work : 12, total : 174
2018-11-12 13:21:25 INFO  Crawler:231 - [Progress 163] elaped time : 00:01:37, save : 40, err : 0, remain_work : 14, total : 177
2018-11-12 13:21:25 INFO  Crawler:231 - [Progress 164] elaped time : 00:01:37, save : 40, err : 0, remain_work : 13, total : 177
2018-11-12 13:21:27 INFO  Crawler:231 - [Progress 165] elaped time : 00:01:38, save : 41, err : 0, remain_work : 12, total : 177
2018-11-12 13:21:27 INFO  Crawler:231 - [Progress 166] elaped time : 00:01:38, save : 41, err : 0, remain_work : 11, total : 177
2018-11-12 13:21:27 INFO  Crawler:231 - [Progress 167] elaped time : 00:01:38, save : 41, err : 0, remain_work : 13, total : 180
2018-11-12 13:21:27 INFO  Crawler:231 - [Progress 168] elaped time : 00:01:39, save : 41, err : 0, remain_work : 12, total : 180
2018-11-12 13:21:29 INFO  Crawler:231 - [Progress 169] elaped time : 00:01:40, save : 42, err : 0, remain_work : 11, total : 180
2018-11-12 13:21:29 INFO  Crawler:231 - [Progress 170] elaped time : 00:01:40, save : 42, err : 0, remain_work : 10, total : 180
